session_id,uri,title,description,language,speakers,start_time,end_time,room,type,tags
DMKPPV,https://coscup.org/2025/sessions/DMKPPV,從戰災到斷網：打造數位韌性，守護民主底線,當災難來臨，民主準備好了嗎？ 從戰爭風險到疫情封鎖，國家是否能在危機中守住民主、維護連網自由？ 我們主張：政府在和平時期就應預建法治防線，讓數位韌性與民主機制得以在非常時期運作。這不只是科技問題，更是政府義務。 本場次將探討由民間司法改革基金會推出的《數位權利基本法》第八條的制度設計提案，如何回應當前全球面對的戰災與網路基礎設施風險，並提出民間參與、公權力限制與數位民防的具體方案。,Mandarin,G3HJDZ,2025-08-09T15:50:00+08:00,2025-08-09T16:20:00+08:00,93,430,"language_zhtw, difficulty_elementary"
DNTGSP,https://coscup.org/2025/sessions/DNTGSP,解密 MLPerf ，從雲端到邊緣：如何定義 AI 性能新標準,MLPerf 是由非營利組織 MLCommons 推動的開源 AI Benchmark 標準，廣泛應用於雲端、終端與嵌入式裝置，其程式碼、模型、測試流程皆公開於 GitHub，致力於打造透明且可重現的 AI 性能評估框架。本演講由 MLPerf Tiny Working Group 共同主席 Peter Chang 主講，將介紹 MLCommons 的開源使命、MLPerf 各類 benchmark 的設計與應用，並分享實際提交流程與業界案例。此外，演講也將介紹 MLPerf Enrichment Interview 訪談計畫與志工參與機會，目前 MLPerf 正在積極招募社群開發者參與 benchmark 的測試設計、程式開發與資料維護，歡迎有興趣貢獻 AI 評測基礎建設的開發者一同加入開源社群的行列！,Mandarin,R7PSSK,2025-08-10T10:50:00+08:00,2025-08-10T11:20:00+08:00,84,416,"language_zhtw, difficulty_elementary"
EDFQ98,https://coscup.org/2025/sessions/EDFQ98,打造全新的 GGML 後端：方法、挑戰以及新型加速器的機遇,llama.cpp/GGML 是一個流行的軟體，用於運行（主要是）大型語言模型。它支援常見的消費級和企業級硬體，例如 NVIDIA、AMD 和 Intel 的 GPU。但是，如果您想引入新的加速器呢？例如，一間公司發表可將功耗降低數倍的新架構。本次演講旨在分享為 Tenstorrent 的 Wormhole AI 處理器構建一個（正在進行中的）GGML 後端的經驗,Mandarin,UDMCG7,2025-08-09T13:20:00+08:00,2025-08-09T13:50:00+08:00,88,445,"language_zhtw, difficulty_advanced"
EJDGTD,https://coscup.org/2025/sessions/EJDGTD,當代的孤兒報刊：網頁保存、研究資料、以及未來展望,台灣《蘋果日報》2003 年創刊，至 2022 年網站停止更新，2023 年起無法瀏覽，自此該報近 20 年來記錄台灣過往生活、社會、娛樂與政治的新聞報導與各式評論隨之消失於線上。與其姊妹報香港《蘋果日報》相仿，該報社因多重原因解體，承載大量常民生活紀錄的網站因此離線，關於如太陽花與雨傘運動等重要當代事件的新聞，包含文字報導與影音內容，一般人再也難以線上取用，這對教育、研究與當代歷史的保存造成不小的影響。本報告將分享我們整理並轉換 Archive Team 於 2022 年以 WARC (Web ARChive) 格式封存的台灣《蘋果日報》網頁，並建構數十萬篇新聞內容的研究資料集的經驗。我們使用 IPTC (International Press Telecommunications Council) 的 ninjs（News in JSON）格式，轉錄這批封存檔案的內容，成為方便檢索使用的資料庫。祈望我們的嘗試能重啟這類孤兒報刊在公眾近用 (public access) 與研究使用的契機。 本次分享內容部份取自我們 2025 年 4 月於 Web Archiving Conferene 2025 (WAC2025）的報告： Recently Orphaned Newspapers: From Archived Webpages to Reusable Datasets and Research Outlooks (https://pid.depositar.io/ark:37281/k5p3h9k37)。,Mandarin,"QWMQRJ, HXGACU, Q8PU9E",2025-08-09T13:00:00+08:00,2025-08-09T13:30:00+08:00,92,437,"language_zhtw, difficulty_elementary"
EQAFPS,https://coscup.org/2025/sessions/EQAFPS,Web3 新手開發入門跟經驗分享,以開發者角度分享經驗，介紹合約跟前端開發常用工具，以及在學習過程中可能會遇到的種種困難 此議程比較開放自由，會比較輕鬆地聊聊各種雜七雜八的事，過程中會由淺至深談論一些概念，對區塊鏈有點興趣的都可以來參加 最後，會分享一些我對於加入 Web3 的經驗跟看法,Mandarin,39KDHM,2025-08-09T10:00:00+08:00,2025-08-09T10:30:00+08:00,82,426,"language_zhtw, difficulty_elementary"
EXYUKY,https://coscup.org/2025/sessions/EXYUKY,使用GDB來針對BMC做除錯,當嵌入式系統中的程式發生錯誤時，除錯方式主要有兩種： 1. 遠端除錯（Remote Debugging）： 透過 gdbserver 在目標設備（如 BMC）上啟動，並用主機的交叉編譯 GDB 連線。 2. 核心轉儲（Core Dump Debugging）： 使用目標設備的 core dump 檔案，在主機上離線分析錯誤原因。 本議程是我在擔任 BMC Engineer 的過程中，研究出如何除錯 Flash 有限基於 Yocto Project 的 OpenBMC 韌體，本演講將介紹如何使用最小容量的 gdb server 進行遠端除錯及使用 host 機器分析 coredump 以方便找到根本原因。,Mandarin,J8QABA,2025-08-10T15:00:00+08:00,2025-08-10T15:30:00+08:00,93,411,"language_zhtw, difficulty_intermediate"
EYNFHS,https://coscup.org/2025/sessions/EYNFHS,如何以HPC開發者的視角通過學習RISCV硬體專案，理解現代處理器架構,現今有許多基於RISCV以及MIPS架構的開源SoC專案。身為一個想要系統性學習處理器的小白，應該要專注在處理器與SOC的哪一些面向，是CPU流水線結構？記憶體？Cache結構？才能夠挑選出一顆適合自己的SoC專案，由淺入深的去學習現代高性能運算處理器架構。並熟悉各種性能評估手法與程式，進而去評估、理解一顆處理器的體質與開發思路、應用場景，最終開發出屬於自己的SoC。,Mandarin,KPS77Q,2025-08-10T10:00:00+08:00,2025-08-10T10:30:00+08:00,89,412,"language_zhtw, difficulty_elementary"
FEFCWW,https://coscup.org/2025/sessions/FEFCWW,Educational FPGA platform with open-source toolchains,"FPGAs are powerful devices, but the complex proprietary toolchains and expensive development boards make it difficult for students and amateurs to enter the world of digital design. Now, the newly emerged open-source toolchains, especially OpenXC7 for AMD/Xilinx 7-Series FPGAs, with an enlarging number of open-source IP cores, are bringing a new dimension of freedom to FPGA development. A free online compiling service with API access is developed to use these open-source toolchains without local software installation. Moreover, FPGAOL, an online educational FPGA cluster service created by the University of Science and Technology of China, makes real Artix 7 FPGA boards available to everyone with internet access. Together, a zero-bar, zero-cost FPGA ecosystem is being created.",English,SRJ3NE,2025-08-10T09:30:00+08:00,2025-08-10T10:00:00+08:00,89,412,"language_en, difficulty_intermediate"
FXZYFP,https://coscup.org/2025/sessions/FXZYFP,從連線到效能：SQL 套件 Connection Pool 的底層設計與優化技巧,database/sql 是每個 golang programmer 都會用到的套件之一，其內建的 connection pool 更是提升 SQL 執行效能的關鍵功能，但你知道一個不小心 connection pool 也會造成程式卡住以及效能瓶頸嗎？讓我們透過 source code 探索 connection pool 的內部實作，並一起探討如何管理好 connection pool 吧！,Mandarin,DUDBPL,2025-08-09T15:10:00+08:00,2025-08-09T15:40:00+08:00,78,433,"language_zhtw, difficulty_intermediate"
GJLFDD,https://coscup.org/2025/sessions/GJLFDD,AGL and 5G Multi-Slice Network Data Communication in SDV Era,"This session will showcase a case study where a simulated automotive device, structured with AGL, connects to a multi-slice network composed using Free5GC and UERANSIM. The presentation will focus on how automotive applications utilize multiple slices based on communication requirements. Furthermore, other use cases for network slicing and future initiatives will be discussed, incorporating an example from the AECC Edge Selection Proof of Concept (POC). Attendees will gain hands-on insights into leveraging AGL in combination with 5G multi-slice networks to address varying communication requirements in automotive applications. Additionally, they will learn about cutting-edge network slicing use cases and practical implementations, such as AECC's Edge Selection POC, which they can adapt for their own projects or organizations.",English,LJZ7DD,2025-08-10T13:20:00+08:00,2025-08-10T14:00:00+08:00,95,410,"language_en, difficulty_intermediate"
GLQVDZ,https://coscup.org/2025/sessions/GLQVDZ,Shim and things related to it,"Shim is a first-stage UEFI bootloader. Linux distros use it to enable secure boot and MOK, loading and verifying grub2. This talk will share the current status of the shim bootloader and will also introduce information about shim development. e.g. features, upstream review process, and so on.",Mandarin,D9U33Y,2025-08-09T10:00:00+08:00,2025-08-09T10:30:00+08:00,79,413,"language_zhtw, difficulty_intermediate"
GLYKVG,https://coscup.org/2025/sessions/GLYKVG,開放國會！民間版立法院開放API,立法院是台灣最重要的民意機關，他負責了立法、國家預算審議以及對行政機關的質詢等重要任務，每個月有數百小時的會議影響著台灣的發展，我們有辦法好好深入了解他的資料嗎？ 歐噴公司寫了大量的爬蟲，將立法院的各種議案、公報、會議紀錄的 Word 檔、PDF 檔，整理成乾淨結構化的資料，並且變成可以自由連結使用的 OpenAPI ，希望更多人認識立法院資料，並且用立法院資料產生更多分析研究及服務，來讓我們的國會更透明。,Mandarin,GK99EM,2025-08-10T14:10:00+08:00,2025-08-10T14:40:00+08:00,83,449,"language_zhtw, difficulty_intermediate"
GQNCEP,https://coscup.org/2025/sessions/GQNCEP,"""Open Gaming"" - Content Licenses in TTRPGs for Fun and Prof… nevermind","Table-Top Roleplaying Games, especially Dungeons & Dragons, have seen a renewed popular interest in the last few years after being prominently featured in shows such as Stranger Things or The Big Bang Theory. To an extent, open licensing has been a part of this culture ever since Wizards of the Coast (WotC) - the company behind the popular TTRPG Dungeons & Dragons - has published their first version of the ""System Reference Document"" under the ""Open Gaming License."" With the most recent update of the D&D rules, this has gained more attention after WotC tried to change and revoke previous versions of the OGL in late 2022/early 2023, finally resulting in community pushback and a new SRD under a Creative Commons license. This talk will take a light-hearted look into license topics around TTRPG games, what questions and challenges there might be, and what other TTRPG systems out there have or claim to have ""open"" licenses.",English,TQF7HH,2025-08-09T14:40:00+08:00,2025-08-09T15:10:00+08:00,87,419,"language_en, difficulty_elementary"
GR9ASN,https://coscup.org/2025/sessions/GR9ASN,能被讀懂、能被實作的開源 ERP 需求規格書,在開源ERP專案裡，「需求規格」往往被視為次要或「之後再寫」的東西。 但對於需要協作的專案來說，一份能被讀懂、能被實作的規格文件，才是所有技術落地的起點。 我是 Ruby，一位 ERP 顧問與流程分析師，長期協助企業導入 Odoo 系統，專職負責需求釐清與規格設計。 我的工作不只是把需求寫下來，而是確保**不同角色都能用同一份文件理解要做什麼、怎麼做、何時做。** 本場分享將聚焦於：「如何設計一份讓開發、PM、業主都能對齊的需求規格書」。 內容包含： - 規格文件的結構：Why → When → Who → How → What - 常見模糊語句的辨識與轉譯技巧（例如「自動」、「方便」、「要有彈性」） - 工程師會感謝你的文件寫法（條件邏輯、例外處理、觸發時機） - 工具實作：如何用 Notion / PUML時序圖/模組流程圖： 梳理規格而非堆疊描述 這場演講不是為了推銷文件模板，而是提供一種實戰經驗累積出的**規格思維模型**： 讓每一段需求都不只是「希望怎麼做」，而是「確保做得到」的描述。,Mandarin,7THUTD,2025-08-09T15:30:00+08:00,2025-08-09T15:50:00+08:00,71,418,"language_zhtw, difficulty_intermediate"
GVHMAJ,https://coscup.org/2025/sessions/GVHMAJ,如何開發一個 AI 產品：從需求到 prompt 再到產品的經驗分享,AI 很強大，但也是最容易被誤解的技術之一。 我們常看到「只要丟個 prompt、接個 API」的說法，但真實世界的 AI 產品開發，遠比這複雜。 在這場分享，我要談的不是單一工具，而是： 如何從需求開始設計：你真的理解使用者的痛點嗎？AI 能解決的問題在哪、不能解決的界線在哪？ 如何設計 prompt 與系統架構：不是寫一兩個神奇 prompt，而是如何設計能擴展、能重用的 prompt 系統。 如何走完從 prototype 到產品化的過程：效能、成本、資料隱私、錯誤處理、回饋機制，通通是坑。 我會用我自己的案例、失敗教訓，分享給大家我的經驗,Mandarin,Z9GJRC,2025-08-10T10:00:00+08:00,2025-08-10T10:30:00+08:00,80,435,"language_zhtw, difficulty_elementary"
GXAWYL,https://coscup.org/2025/sessions/GXAWYL,原住民族語開放語音庫，Common Voice 錄音補助專案分享,[Mozilla Common Voice](http://commonvoice.mozilla.org/) 於 2024 年底補助 MozTW 及台灣維基協會進行[原住民族語語料錄音](http://moztw.org/common-voice/)，截至 2025 年 3 月，我們已協助八個原住民族語社群完成共 77 小時的錄音，於六月以 CC0 公眾授權免費公開，成為台灣第一組免費且開放的族語語音資料庫，供任何語言相關專案自由使用。在本議程中，我們將分享本專案一路上的甘苦經驗。,Mandarin,SMCCYY,2025-08-10T11:00:00+08:00,2025-08-10T11:30:00+08:00,91,414,"language_zhtw, difficulty_elementary"
HBCVUJ,https://coscup.org/2025/sessions/HBCVUJ,AI世代中開源概念的混淆與釐清,"隨著開源AI的興起，「開源(Open Source)」一個詞在台灣突然變得熱門了起來，採用所謂「開源授權條款」釋出的專案似乎也能夠得到較多的關注與名聲。但是實際的狀況卻是，在這些專案中有些並不是那麽的開源。所以本場次將會從「開源定義 (Open Source Definition, OSD)」談起，解釋其中的自由意涵，然後會以實際的軟體專案授權條款來說明，哪些看似開源的軟體，其實並不完全符合開源定義(OSD)，甚至是有悖於開源定義，不能被稱為開源軟體。",Mandarin,RPKUWS,2025-08-09T10:00:00+08:00,2025-08-09T10:30:00+08:00,87,419,"language_zhtw, difficulty_elementary"
HFQUQX,https://coscup.org/2025/sessions/HFQUQX,Ray 與 KubeRay：大學生參與世界級專案的心路歷程,從一個大學生的角度，介紹自己同時參與的兩個世界級開源專案—Ray 和 KubeRay。在這場演講中，我會簡單介紹這兩個專案的背景與用途，接著分享我是如何踏入開源世界、像是介紹我實作的 PR、如何參與貢獻等。這段旅程讓我不只是學會技術，更學會如何與全球開發者合作。希望這場分享能讓你知道，開源其實沒那麼遙遠，只要願意開始，你也做得到。,Mandarin,EDMNJU,2025-08-09T10:40:00+08:00,2025-08-09T11:10:00+08:00,88,445,"language_zhtw, difficulty_elementary"
HGK8DN,https://coscup.org/2025/sessions/HGK8DN,Rewriting the Rules: Enterprise-Level Open Source Success Through Community and Strategy,"In this session, we’ll unveil a practical and strategic approach to achieving open source success within enterprises by challenging traditional models and forming a thriving feedback ecosystem. Drawing from real-world experience at OpenTPI, we’ll explore how aligning open source initiatives with market-driven goals, user engagement, and business sustainability can generate tangible results in innovation, revenue, and branding. You’ll gain actionable insights into how to subvert legacy rules, reach wider audiences, and foster a self-reinforcing open source ecosystem that benefits both developers and the enterprise. ________________________________________ Target Audience: • Open source developers exploring enterprise collaboration • Project maintainers seeking sustainable growth • Technical decision-makers and advocates promoting open culture in business ________________________________________ Key Takeaways • Use open source to shift the playing field—see how code, community, and transparency can challenge traditional enterprise software models. • Grow your project with purpose by setting clear goals, choosing the right license, and engaging contributors through meaningful collaboration. • Balance freedom and sustainability through service-based monetization and scalable infrastructure, while keeping your codebase open and accessible. • Boost impact with real feedback—learn how to embed user and contributor input into your development cycle to improve product quality and relevance. • Scale with community and code by aligning development efforts with strategic goals in documentation, marketing, and partner collaboration. ________________________________________ Session Outline: 1. Introduction: The Evolving Role of Open Source in Business 2. Subvert the Game: Lowering Barriers & Increasing Visibility 3. Reach & Retain: From Users to Evangelists 4. Creating a Feedback Loop for Growth 5. Business Integration: Strategy, Licensing, and Revenue 6. Q&A / Community Sharing ________________________________________ Prerequisites for Attendees: • Familiarity with open source practices or basic enterprise IT structure • Interest in bridging community development with business strategy ________________________________________ Supplementary Material: • GitHub: https://github.com/TPIsoftwareOSPO/digiRunner-Open-Source • Documentation: https://docs.tpi.dev • Blog: https://tpi.dev, https://medium.com/@opentpi • LinkedIn: OpenTPI",English,9VAYYW,2025-08-09T10:40:00+08:00,2025-08-09T11:10:00+08:00,86,460,"language_en, difficulty_elementary"
HVHWBA,https://coscup.org/2025/sessions/HVHWBA,2025 廟宇維基媒體街景踏察團,維基媒體街景踏察團最早可追溯到 2014 年維基漫步 Wikimambo，後有 2018 年的悠閒漫步系列活動，這期間都以大眾交通工具與步行為主，直到 2022 年以維基聯盟基金支應的街景踏察團活動才開始以車輛進行大範圍拍攝。 2025 年 Wikidata Taiwan 社群與 OpenStreetMap Taiwan 社群透過 TRFC 平台的社群橫向聯繫，自一月起合作推出馬鳴山鎮安宮維基媒體工作坊、二月與海波浪及宜蘭社群合作推出羅東廟宇街景踏察團暨工作坊，四月再與114-115 六房天上聖母 土庫股(過港)紅壇合作推出六房媽x維基雲林虎尾、土庫廟宇街景踏察團暨工作坊。 本次講座將會簡單總結 2025 年以來數個場次活動的成果與經驗，同時預告接下來的各個場次，歡迎各地在地社群夥伴可以與我們共同合作，將地方資料再次推向世界。,Mandarin,WGV8UG,2025-08-10T10:30:00+08:00,2025-08-10T11:00:00+08:00,92,409,"language_zhtw, difficulty_elementary"
HVWSGC,https://coscup.org/2025/sessions/HVWSGC,自由軟體的國際化與在地化,這個議程包含了講古與一丁點國際化的技術，談談何謂國際化(i18n)與在地化(l10n)，還有自由軟體在 i18n 與 l10n 的歷史發展。,Mandarin,NTFJDW,2025-08-09T10:00:00+08:00,2025-08-09T10:50:00+08:00,76,421,"language_zhtw, difficulty_elementary"
J7KBSL,https://coscup.org/2025/sessions/J7KBSL,Loosing Seat in Concurrency: A tale of Transactions and Locks,"Let's say there is one seat left in the aircraft. And two people want to buy a ticket. And they submit a form at the almost same time. Who gets the seat? In this talk I'll touch classic database concurrency problems, transaction isolation and anomalies, pessimistic, optimistic and advisory locking and patterns to use it.",English,BLXV8K,2025-08-10T11:20:00+08:00,2025-08-10T11:50:00+08:00,75,438,"language_en, difficulty_elementary"
J9QYAA,https://coscup.org/2025/sessions/J9QYAA,OCA 國際級開源專案組織的 DevOps 建置及規範 - 如何管理超過 200 個 Repo 專案,"中文 250 字以內，請完整地描述議程主要內容，讓聽眾充分理解議程內容及預期收穫 。本段文字預定於大會官網優先曝光!這次議程我只要介紹 OCA (Odoo Community Association) 在 Linting, Testing 及 OCA GitHub bot 及實際操作的心得。 首先，先簡單了解 OCA的量級，OCA 目前有超過 200 個 Repos，上百位貢獻者，並總計有數以千計的模組。不只如此，每個模組還有不同版本的 branch，且每年會更新一個版本。為了維護專案的品質，僅靠人力來管理是不切實際的，所以多年前 OCA 已建立了貢獻及管理專案的基礎建設。 貢獻流程，要注意的是 (1) Git Commit, 和 (2) CI Testing，再到 (3) GitHub Merge，這分別對應到我開頭提的 Linting, Testing 和 OCA GitHub Bot，我們稍微順一下這個流程，首先我們發現程式的臭蟲，嘗試 Fork 專案並 Clone 到本機端修改程式碼，修改完成後，我們 (1) Git Commit 我們的修改，並且上傳到雲端及送出 Pull Request 給原始專案，此時 PR 得先通過 (2) CI Testing 判別是否通過所有測試，最後，當貢獻者和管理者討論及修修改改後完成後，正是可以將 PR 納入 (3) GitHub Merge 到專案中偉大時刻，碰，大功告成!!! 在貢獻流程中，維護者一天可以收到非常多的 PR 裡面夾帶著非常多的 (1) Git Commit，如果每個都一一建議，是會很耗損開源維護者的熱情地，所以 OCA 使用 pre-commit 工具及 oca-addons-repo-template 來維持最低程度的 commit 品質。 再來是專案維護者，並不可能有時間一一檢查所有的程式，所以透過獨有的 (2) CI Testing，在 GitHub Action 把關程式碼是否通過基礎驗證，再來特別點的是，由於 Odoo 是個包含商業邏輯的全端應用，程式碼可以運行，不代表程式及資料邏輯是正確可運行的，所以有個 Runboat 運用 Kubernetes 動態建構出可以測試運行的執行環境，供維護者來做基本的驗證及確認。 最後在 PR 通過審查後，要做 (3) GitHub Merge 到原始專案當中，此時可以交由 OCA GitHub Bot 來代勞，完成最後一步。最令人振奮的是，這些都是開源的，歡迎大家來學習交流 : )",Mandarin,VJCP9S,2025-08-09T12:30:00+08:00,2025-08-09T13:00:00+08:00,71,418,"language_zhtw, difficulty_intermediate"
JEUZYR,https://coscup.org/2025/sessions/JEUZYR,Edge AI 開發平台比一比,Edge AI 開發板百百種，到底哪一種最合適我？誰能告訴我。這個分享會為大家一次說明白，從Edge AI 誰說了算？到Edge AI開發流程，最後介紹常用的開發板及開發工具，讓大家一口氣建立初步概念。,Mandarin,7TFCEC,2025-08-10T11:30:00+08:00,2025-08-10T12:00:00+08:00,84,416,"language_zhtw, difficulty_elementary"
JPADKC,https://coscup.org/2025/sessions/JPADKC,自己的 kernel 自己簽：secure boot 的開源之旅,Secure boot 保護你的系統免受 bootkit 攻擊，藉由 key 對 boot loader 簽名，確保只有經過認證的軟體被執行。那你知道這把 key 是怎麼來的嗎？為什麼每篇 Linux 安裝教學的第一步就是要你關閉 secure boot，然後就沒有然後了？本篇演講帶你從 UEFI 開始，走過整個 secure boot 直到 Linux kernel 載入，並介紹開源世界中如何透過 machine owner key 擺脫邪惡企業的控制，用自己的 key 對自己的 boot loader 及 kernel 簽名。 開進作業系統是成功的第一步，除了 secure boot 以外，還有更多的安全機制可以啟用。全硬碟加密可以避免別人偷走你的電腦後直接讀取內容，但目前 boot loader 對全硬碟加密的支援其實是有一些限制的，深入分析 grub 更會發現沒有寫在文件上的行為。這篇也會介紹在 Linux 中如何透過工具檢視這些進階的安全設置，並分享在除錯的過程中，使用 LLM 分析程式碼的經驗，從 GNOME desktop 一路追回 kernel。,Mandarin,VRWC3A,2025-08-09T10:00:00+08:00,2025-08-09T10:40:00+08:00,83,441,"language_zhtw, difficulty_advanced"
JXLL3D,https://coscup.org/2025/sessions/JXLL3D,公眾授權條款的放寬與限縮：行不行、好不好、怎麼做？,公眾授權條款是否可以被修改以加入放寬或限縮條件？例如，基於 MIT、Apache、GPL 或 Creative Commons（CC）等授權條款加以調整，是否合法可行？過去二十年已有諸多實例可供參考。整體而言，公眾授權條款因使用者眾多，原則上不得新增原條款所無之限制，任何加嚴規定一般視為不可接受，若真有必要，應另創條款並更名以避免混淆。相較之下，策略性地放寬條款則較為常見，因其通常不會產生授權糾紛。本講座將從授權條款文本、條款維護組織的官方立場，以及若干重要案例切入，探討修改授權條款的可能性與實務，包括 Redis、MongoDB、iTextSharp 的授權演變，以及可能為主權 AI 發展而制定的補充條款，皆將納入討論範圍。,Mandarin,N9LZVC,2025-08-09T14:00:00+08:00,2025-08-09T14:30:00+08:00,87,419,"language_zhtw, difficulty_intermediate"
K793LW,https://coscup.org/2025/sessions/K793LW,From Scripts to Circuits: IoT Applications with mruby/c,"mruby/c is a lightweight implementation of mruby, designed specifically for environments with limited resources, supprting for IoT device development. It enables Ruby programs to run with minimal memory consumption; even the smallest application requires only about 20 KB of memory. One of the key features of mruby/c is its concurrent execution capability, a feature not found in CRuby or standard mruby. This allows multiple programs to run in parallel without the need for an operating system. Additionally, mruby/c includes power-saving mechanisms, enabling IoT devices to operate for extended periods on limited power sources. In this session, we'll explore how mruby/c functions, with a focus on its power-efficiency and portability to various hardware platforms. We'll conclude with a hands-on demonstration using a one-chip microcontroller.",English,7C89L7,2025-08-09T14:05:00+08:00,2025-08-09T14:35:00+08:00,75,438,"language_en, difficulty_elementary"
K7HNX7,https://coscup.org/2025/sessions/K7HNX7,Running Python in the Browser: Practical Applications with Pyodide,"Pyodide is an open-source project that compiles CPython to WebAssembly, enabling native Python execution directly in browsers or Node.js. With built-in support for scientific libraries like NumPy and Pandas, it unlocks client-side computing potential for modern apps. This talk shares practical use cases of Pyodide in frontend development—covering installation, DOM interaction, data analysis, and seamless JavaScript ↔️ Python communication. We'll explore how Pyodide empowers serverless, offline-first open source tools, and how it integrates Python into AI, and educational contexts.",Mandarin,N37GTD,2025-08-09T15:20:00+08:00,2025-08-09T15:50:00+08:00,73,461,"language_zhtw, difficulty_intermediate"
K9RS8D,https://coscup.org/2025/sessions/K9RS8D,開源精神、開放資料如何參與環境保護議題：揭開四大基金投資真相！,"除了銀彈進場護盤，關於「四大基金」，你還聽過什麼？ 環境正義基金會（Environmental Justice Foundation, EJF）從 2021 年開啟對台灣四大政府基金——郵政儲金、勞退基金、勞保基金、退撫基金的觀察與研究，發現四大基金雖然都承諾其投資遵守政府 2050 淨零政策、考量長遠世代的影響，卻缺乏相應的「永續投資」行動，形同加劇氣候變遷；同時「投資標的」與「氣候風險」的不透明，亦嚴重危害人民的知情權與公民參與。 EJF 與財團法人開放文化基金會（Open Culture Foundation, OCF）合作，希望透過開源工具、開放資料，結合氣候情境分析方法，揭露四大基金現行投資政策對人民帶來的財務風險，鼓勵人們採取行動，要求四大基金投資永續的環境與未來。 在這場議程中你可以了解到： 四大政府基金的運作方式，與國家氣候目標的矛盾與壁壘。 氣候變遷風險對真實世界及個人財務所造成的實質影響。 開源工具、開放資料如何使使資料與倡議更具影響力。 其他參考資料： * 2024/08 《火上加油：臺灣政府基金未盡忠誠義務，助長氣候危機、危及民眾資產》報告 https://reurl.cc/vQGxEo * 2024/06 投書 氣候風險大增，退休基金還要投資化石燃料產業嗎？ https://reurl.cc/bWeodM",Mandarin,9WQRQB,2025-08-09T15:20:00+08:00,2025-08-09T15:50:00+08:00,86,460,"language_zhtw, difficulty_elementary"
KCE9SD,https://coscup.org/2025/sessions/KCE9SD,One Size Can't Fit All: The Case for a Real-Time Data Warehouse,"In the last decade, the rise of the proprietary cloud data warehouse, led by platforms like Snowflake, BigQuery, and Redshift, has helped modernize data warehousing by providing scalability, convenience, and most importantly flexibility and openness to a very important class of data workloads. Once this data was available in the cloud, it was possible to use it for more use cases, including user-facing analytics, dashboarding, observability, machine learning, and so on. This led to recurrent performance challenges, a degraded user experience, significant runaway costs, and also — vendor lock-in. In this talk, we explore the role open source technologies (e.g. open source real-time analytical databases like Druid, Pinot, ClickHouse) and open data lake standards (e.g. Iceberg, Hudi, Delta Lake) play in transforming the modern data stack and helping organizations move away from a monolithic cloud data warehouse.",English,P9XWZ9,2025-08-10T13:30:00+08:00,2025-08-10T14:00:00+08:00,83,449,"language_en, difficulty_intermediate"
KCXUSU,https://coscup.org/2025/sessions/KCXUSU,Building RESTful APIs with gRPC-gateway in Go,使用 gRPC-Gateway 在 Go 中構建 RESTful API，讓開發人員能夠將 gRPC 服務暴露為 RESTful API，而無需重複編碼。通過 gRPC-Gateway 插件生成的反向代理伺服器，RESTful HTTP 請求被轉換為 gRPC 呼叫，依據服務定義中的註釋。使 gRPC 的高效性與 RESTful API 的廣泛採用無縫整合，非常適合需要同時支援兩種協定的微服務架構。本次演講將涵蓋設置過程、最佳實踐以及 gRPC-Gateway 在 Go 中的真實應用案例。,Mandarin,7X3VTY,2025-08-09T10:10:00+08:00,2025-08-09T10:40:00+08:00,78,433,"language_zhtw, difficulty_elementary"
KLEUNM,https://coscup.org/2025/sessions/KLEUNM,"End-to-End Encryption Saves Lives. You Can Start Saving Lives In Ruby, Too","""Why do you need End-to-End Encryption in Ruby? Because..."" This talk will cover the Ruby implementation of the Messaging Layer Security Protocol (RFC 9420), and recent developments in Ruby's modern cryptography. Messaging Layer Security enables authenticated key exchange in group messaging systems, providing end-to-end security to messaging apps. By learning how end-to-end encryption in group messaging works, you could be more confident about the security of your daily messages that are sent through your messaging apps. And yes, it does save actual lives.",English,LLRXH8,2025-08-09T13:30:00+08:00,2025-08-09T14:00:00+08:00,75,438,"language_en, difficulty_advanced"
KR3DRD,https://coscup.org/2025/sessions/KR3DRD,Doujin and Open Source: A Comparative Study and Future Perspectives on the Evolution of Open Culture,"This presentation compares Japan's ""Doujin"" (同人) activities with the Western-originated ""Open Source Software (OSS) activities,"" exploring their origins, backgrounds, developmental dynamics, and the future vision of open culture. The OSS movement sustains a voluntary community of developers, motivated by contributions and improvements secured through open source licenses. In contrast, Japan's Doujin culture forms highly enthusiastic communities through the creation and distribution of derivative works based on existing creations or original works. These activities are fueled by the love and empathy that fans (i.e., ""doujin"") share for ""narratives"". This session will first trace the origins of both movements. While the OSS movement is rooted in the hacker culture of the American West Coast and European free software ideology, Doujin activities find their early forms in the self-publishing of literary magazines by writers' groups in Meiji era (late 18th century). Next, we will compare the developmental processes of their respective communities. Doujin activities have built a unique ecosystem for co-creating narratives through offline events known as ""Doujinshi conventions"" (同人誌即売会). In contrast, we will examine how the OSS movement's stage became globalized and came to pursue productivity within a market economy. Finally, we will look towards the future of our open culture. We will introduce relatively new Japanese Doujinshi conventions such as ""Bunfree Market"" (文学フリマ) and ""Tech Book Fest"" (技術書典), proposing an attractive community model driven by emotional connections.",English,38HVTF,2025-08-09T10:00:00+08:00,2025-08-09T10:30:00+08:00,95,415,"language_en, difficulty_intermediate"
